    ITER          TIME      CPUDT          DT      CFL     DNUM         DIV              MOM              TKE
       0             0     0.0002   2.000E+01   0.2667   0.0389   0.000E+00   2.00000000E+00   2.00000000E+00
      50          1000    42.9730   2.000E+01   0.3288   0.0325   5.094E-18   1.99087810E+00   1.98277914E+00
     100          2000    46.5517   2.000E+01   0.3665   0.0396   5.297E-18   1.98383890E+00   1.97003777E+00
     150          3000    52.6137   2.000E+01   0.3398   0.0326   5.025E-18   1.97771566E+00   1.95579194E+00
     200          4000    50.8815   2.000E+01   0.3223   0.0290   4.737E-18   1.97179521E+00   1.94179079E+00
     250          5000    48.1544   2.000E+01   0.3177   0.0356   4.633E-18   1.96401602E+00   1.92620583E+00
     300          6000    51.8143   2.000E+01   0.3261   0.0438   4.737E-18   1.95693354E+00   1.91329895E+00
     350          7000    48.9236   2.000E+01   0.4089   0.0700   5.245E-18   1.94974842E+00   1.90388328E+00
     400          8000    45.0058   2.000E+01   0.3906   0.0781   4.974E-18   1.94097674E+00   1.88610062E+00
     450          9000    44.1962   2.000E+01   0.4242   0.0803   5.719E-18   1.93331970E+00   1.87187124E+00
     500         10000    44.3068   2.000E+01   0.4067   0.0896   7.819E-18   1.92705605E+00   1.86258450E+00
     540         10800    35.6372   2.000E+01   0.4285   0.1043   7.669E-18   1.92248533E+00   1.85351568E+00
    ITER          TIME      CPUDT          DT      CFL     DNUM         DIV              MOM              TKE
     550         11000    11.1924   2.000E+01   0.4430   0.1097   9.209E-18   1.92137102E+00   1.85151110E+00
     600         12000    44.7058   2.000E+01   0.5025   0.1226   1.216E-17   1.91594619E+00   1.84399295E+00
     650         13000    43.6886   2.000E+01   0.5627   0.1230   1.727E-17   1.91104038E+00   1.83651162E+00
     700         14000    45.5900   2.000E+01   0.5985   0.1335   2.140E-17   1.90708270E+00   1.83340876E+00
     750         15000    45.3265   2.000E+01   0.6143   0.1585   2.355E-17   1.90373049E+00   1.83561575E+00
     800         16000    43.7370   2.000E+01   0.7059   0.1586   3.030E-17   1.90109315E+00   1.83393086E+00
     850         17000    43.2900   2.000E+01   0.7675   0.1783   3.063E-17   1.89936974E+00   1.83264321E+00
     900         17960    42.0868   2.000E+01   0.7866   0.1984   3.573E-17   1.89948046E+00   1.85542854E+00
     950         18940    43.9788   2.000E+01   0.9040   0.1756   3.967E-17   1.90010619E+00   1.87266294E+00
    1000       19888.2    43.4183   1.790E+01   0.7723   0.2000   3.657E-17   1.90027776E+00   1.88016250E+00
    1050       20772.8    43.7362   1.840E+01   0.8504   0.2000   5.156E-17   1.90233595E+00   1.89521414E+00
    1096         21600    35.7167   1.561E+01   0.8961   0.2000   2.792E-17   1.90635130E+00   1.92454233E+00
    ITER          TIME      CPUDT          DT      CFL     DNUM         DIV              MOM              TKE
    1100       21664.2     2.8176   1.626E+01   0.9443   0.2000   4.662E-17   1.90668149E+00   1.92525508E+00
    1150       22536.5    38.3992   1.767E+01   0.8068   0.2000   4.552E-17   1.91066390E+00   1.95019546E+00
    1200         23400    38.3763   1.842E+01   0.8732   0.2000   1.710E-17   1.91630714E+00   1.96435607E+00
    1250       24268.4    38.5849   1.626E+01   0.8915   0.2000   8.149E-17   1.92239581E+00   1.98912149E+00
    1300       25096.6    37.8483   1.779E+01   0.9820   0.2000   8.132E-17   1.92773870E+00   2.04466023E+00
    1350       25889.9    37.3435   1.444E+01   0.7364   0.2000   6.284E-17   1.93479610E+00   2.06469007E+00
    1400       26676.6    36.6560   1.561E+01   0.8443   0.2000   7.537E-17   1.94283570E+00   2.07310687E+00
